Sat Dec 12 15:02:31 +0000 2015 Reminder:  westbound traffic shift btn  &amp;  exit begins tonight at 11PM. 
"Fri Dec 11 22:03:08 +0000 2015 Reminder:  CLOSED both directions on Saturdays &amp; Sundays, 12/5 thru 12/20, 7am-3pm. Details below: "
"Fri Dec 11 21:03:29 +0000 2015 REMINDER:  96th St Transverse closed tomorrow, Sat 12/12 from 12:01am-6am. "
Mon Nov 16 18:00:43 +0000 2015 CANCELED: All lane closures in the Battery Park Underpass are CANCELED for the week of 11/16 thru 11/21.
"Mon Nov 16 13:03:01 +0000 2015  Upper Roadway partial lane closures, Mn-bound 11/17 10pm-5am, Qns-bound 11/19 11pm-5am "
"Fri Nov 13 22:03:21 +0000 2015 REMINDER:  full closures Saturdays &amp; Sundays thru 11/22, 7am-3pm. Alt route: Metropolitan Ave "
"Fri Nov 13 21:15:09 +0000 2015  single lane closures, 11/17 from 11pm-6am "
"Fri Nov 13 20:45:13 +0000 2015  full bridge closure 11/19 thru 11/21, Thurs &amp; Fri 12:01am-5am, Sat 1am-6am. Detour below: "
Fri Nov 13 19:45:16 +0000 2015   closures for this weekend: 
"Fri Nov 13 17:39:08 +0000 2015  overnight detours for Manhattan-bound traffic, Fri &amp; Sat nights.   "
Thu Nov 12 21:10:56 +0000 2015  southbound traffic moving to former northbound lanes on Wed 11/18 from 1am-6am 
Thu Nov 12 17:21:18 +0000 2015 Update:  pedestrian/ promenade work completed last night. No path closure tonight (11/12) 
Thu Nov 12 15:03:37 +0000 2015  pedestrian/ path will be closed tonight 9PM until Fri 6AM. Please use  as alternate route.
Wed Nov 11 18:06:12 +0000 2015  11/13 Partial Lane Closures: N/B 10AM-Noon; S/B 12-3PM. Alt Route:  
Wed Nov 11 16:06:57 +0000 2015    Scheduled NYC closures available here:  Please check with  regarding LIE.
Wed Nov 11 14:11:26 +0000 2015  Promenade fully closed tonight 11/11 9pm-6am. Use  as alt route.   
"Tue Nov 10 16:07:13 +0000 2015 UPDATE: Due to weather, tonight's closure of the  pedestrian/ path is rescheduled for Thurs 11/12 9PM to Fri 6AM."
Tue Nov 10 14:16:44 +0000 2015  Promenade fully closed tonight 11/10 9pm-6am. Use  as alt route.   
"Mon Nov 09 21:45:16 +0000 2015  revised/extended nightly closures of NorthTube thru 11/20, SouthTube closures continue 11/21: "
"Mon Nov 09 20:30:50 +0000 2015  partial lane closures on 11/12, one Bx-bound lane closed 7am-10am, one Mn-bound lane 10am-3pm "
"Fri Nov 06 14:04:48 +0000 2015 REMINDER:  South Tube fully closed all day tomorrow, Sat 11/7 12:01am-11:59pm per  "
"Thu Nov 05 21:16:16 +0000 2015  partial lane closures on Tues, 11/10 from 7am-3pm. See below for details: "
"Thu Nov 05 16:03:54 +0000 2015   two lane closures in both directions under 49th Street, two nights a wk from 11/9 thru 12/11: "
"Wed Nov 04 20:55:40 +0000 2015  Mn-bound Lower Roadway right lane closed 12:01am-5am one/two weeknights per week,11/9 thru 12/28 "
"Wed Nov 04 18:06:10 +0000 2015  North &amp; South Tube night closures extended thru 11/14, see below for full schedule: "
Wed Nov 04 14:11:18 +0000 2015  Promenade fully closed tonight 11/4 9pm-6am. Use  as alt route.   
Tue Nov 03 21:25:33 +0000 2015 Propose a plaza for  Find out more at our  info session on 11/5:  
"Tue Nov 03 17:16:43 +0000 2015  lane closures on Thurs 11/5, Queens-bound closures: 10am-12pm, RI-bound: 12pm-3pm "
Tue Nov 03 14:11:12 +0000 2015  Promenade fully closed tonight 11/3 9pm-6am. Use  as alt route.   
"Mon Nov 02 21:50:44 +0000 2015  full closures Saturdays &amp; Sundays, 11/7 thru 11/22 7am-3pm. Alternate route: Metropolitan Ave "
"Mon Nov 02 20:16:19 +0000 2015  lane closures in each direction under 69th St Bridge and Woodside Ave Bridge continuing, see below for details: "
"Mon Nov 02 16:55:44 +0000 2015  lane closures on Wed 11/4, 10am-3pm. One lane will remain open at all times. "
Mon Nov 02 15:06:11 +0000 2015  North &amp; South Tube PM lane closures this week; South Tube full closure 11/7 per  
"Mon Nov 02 14:03:54 +0000 2015 REMINDER:  full bridge closure 11/3 thru 11/7, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info: "
Fri Oct 30 18:10:16 +0000 2015  overnight detours for Mn-bound traffic cont tonight 10/30. No closures 10/31 &amp; 11/1. Weekday closures cont 11/2. 
Fri Oct 30 15:22:50 +0000 2015  Please report sidewalk or street blocked by construction to  here: 
Fri Oct 30 13:04:25 +0000 2015 REMINDER:   stairway to the Promenade closed 10/31 from 1am-5am.  
"Thu Oct 29 19:25:57 +0000 2015  two westbound lane closures twice a week, Nov 2015 thru January 2016, 12:01am-5am. "
Wed Oct 28 17:08:35 +0000 2015   update: Overnight concrete pours + closures sealed prior to Sunday's   
"Wed Oct 28 15:46:11 +0000 2015  one lane closed either direction 11/2 thru 2/26, 2 or 3 nights per week. See below for details: "
"Tue Oct 27 20:35:38 +0000 2015  Brooklyn-bound lane closures one upper &amp; one lower lane, 11/2 thru 12/21 twice a week, 12:01am-5am "
"Tue Oct 27 18:16:05 +0000 2015  full bridge closures 11/3 thru 11/7, Tues-Fri 12:01am-5am &amp; Sat 1am-6am. Detour info below: "
Tue Oct 27 16:03:07 +0000 2015  early morning lane closures between  &amp;  continuing thru 12/17. See below for details: 
"Fri Oct 23 18:30:50 +0000 2015 REVISED:  South Tube only single lane &amp; full closures, 10/26-10/31. See below for details: "
"Fri Oct 23 15:23:31 +0000 2015 Nightly  Promenade Closures:11/3,11/4,11/10,11/11 9PM-6AM. Peds &amp; cyclists may use  "
"Fri Oct 23 13:16:28 +0000 2015 Broadway (US Route 9) lane closures in both directions under  on 10/26 &amp; 10/28, 11pm-5am "
Thu Oct 22 19:35:42 +0000 2015 Single lane closures continuing 10/26 on   &amp; Woodhaven Blvd Service Rds. See below: 
Tue Oct 20 20:52:51 +0000 2015 Please be advised:  will be closed nightly from 10/22 thru 10/24 to all traffic.  map: 
Fri Oct 16 20:39:22 +0000 2015 Weekend closure alert:  N/B entrance ramp at  &amp;  closed Sat 9PM-Sun 9AM. Detour to  
Fri Oct 16 20:30:53 +0000 2015  No overnight detours for Mn-bound traffic this weekend. Weekday overnight closures resume on Monday night (10/19) 
"Fri Oct 16 20:25:18 +0000 2015 RESCHEDULED: Lane closures from  exit to Second Ave and on E. 128th St, 10/19 thru 10/22 10am-2pm "
Fri Oct 16 17:55:23 +0000 2015 REVISED:  closures continuing thru 10/31 for North tube only. South tube will be open. Details: 
Fri Oct 16 13:13:32 +0000 2015   is stuck in the open position. Electricians are reporting to the scene for repair. Please seek alternate route.
"Thu Oct 15 16:11:16 +0000 2015  lane closures in both directions under W. 252nd St Bridge on 10/19 &amp; 10/21, 11pm-5am "
"Wed Oct 14 19:40:45 +0000 2015    SBS stop is open, however  contractor is working on bioswale curb drainage"
Wed Oct 14 19:39:38 +0000 2015  Overnight  closures are currently scheduled to continue into November. For project updates: 
Tue Oct 13 13:25:36 +0000 2015  final stage traffic shift at  beginning at 10pm on 10/15. 
"Mon Oct 12 17:05:43 +0000 2015 REMINDER:  North Tube closures this week, South Tube closures extending thru 10/24. See below: "
"Mon Oct 12 14:16:07 +0000 2015  northbound lane closures under  on 10/14, 11pm-5am (weather permitting) "
"Mon Oct 12 13:04:14 +0000 2015 REMINDER:  full bridge closures this week Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info below: "
"Sat Oct 10 14:03:22 +0000 2015 REMINDER:   closed, both directions on Sun 10/11, 12:01am-6am "
Fri Oct 09 21:03:09 +0000 2015 REMINDER:  Nightly MN-bound closures extended to daytime hours this wknd: 12AM 10/10 until 5AM 10/12 
Fri Oct 09 19:45:26 +0000 2015  partial lane closure at  10/12 thru 10/15 11pm-6am 
"Fri Oct 09 17:46:19 +0000 2015    West Drive is car-free all the time, East Drive remains open to vehicles weekdays 7-9am"
"Fri Oct 09 17:30:34 +0000 2015  westbound &amp; eastbound lane closures at  10/13 thru 10/16, 12am-5am "
"Fri Oct 09 16:00:28 +0000 2015  southbound single lane closures below the   ramp on 10/10, 9am-2pm "
"Fri Oct 09 14:04:01 +0000 2015 RT   overnight closure:   10/13-10/16 12-5AM, 10/17 1AM-6AM. "
Wed Oct 07 18:32:47 +0000 2015  Nightly MN-bound closures extended to daytime hours this wknd: 12AM 10/10 until 5AM 10/12.  
"Wed Oct 07 17:35:40 +0000 2015  full bridge closures, 10/13 thru 10/17, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info below: "
Wed Oct 07 17:01:23 +0000 2015  under WEST 236th St Pedestrian Bridge: intermittent single lane closures overnight begins 10/9 
Wed Oct 07 15:20:58 +0000 2015  under E 236th St Pedestrian Bridge: intermittent single lane closures overnight begins 10/9: 
"Wed Oct 07 13:32:22 +0000 2015   closed, both directions on Sun 10/11, 12:01am-6am "
Mon Oct 05 17:03:47 +0000 2015  Rd over  lane closures 10/7 11PM-5AM to repair underdeck concrete (weather permitting) 
"Mon Oct 05 13:06:06 +0000 2015 Lane closures from  exit to Second Ave and on E. 128th St, 10/6 &amp; 10/13 12:01am-5am weather permitting "
"Mon Oct 05 13:03:38 +0000 2015  single lane closures Mon-Thurs starting today 10pm-12am, in addition to full closures. Details: "
Sun Oct 04 19:02:30 +0000 2015 Reminder:  Mn-bd upper level right lane &amp; intermittent bike path closure 10/5+10/6 11AM-4PM  
"Sun Oct 04 18:59:07 +0000 2015 Expect continued traffic delays in area of 13th Ave and 42nd St, BK. Explosion efforts continue today."
"Fri Oct 02 20:30:21 +0000 2015  early morn full closures continuing: northtube thru 10/3, southtube 10/6 thru 10/10. See below: "
"Fri Oct 02 19:50:25 +0000 2015  two lane closures rescheduled for 10/6 thru 10/10, 1am-5am. Updates on  "
"Fri Oct 02 18:25:02 +0000 2015  Yes, UN General Assembly street closures continue thru 10/3. Check our weekend traffic advisory: "
Fri Oct 02 17:30:37 +0000 2015  overnight detours to MN-bound traffic on 10/2 and 10/3. No closure 10/4.  More Info: 
Fri Oct 02 14:32:03 +0000 2015 . advisory:  Mn-bd upper level right lane &amp; intermittent  bike path closure 10/5+10/6 11AM-4PM 
"Fri Oct 02 13:27:48 +0000 2015 Due to adverse weather conditions, the northbound  traffic switch to temporary roadway postponed until Mon 10/5 at 10am."
"Thu Oct 01 13:35:30 +0000 2015  one lane closed 10am-3pm, eastbound: 10/5 thru 10/8, westbound: 10/6 "
Wed Sep 30 22:49:05 +0000 2015 Please note: Closure of right lane of northbound  at 155th St./ for repair work. Two lanes remain open.
"Wed Sep 30 19:25:31 +0000 2015  under  lanes closed one direction at a time, 10am to 3pm on 10/5, 10/7 &amp; 10/12 "
"Wed Sep 30 15:32:22 +0000 2015  two southbound lane closures 10/5 thru 10/30, 11pm-5am from W 82nd St to W 72nd St "
Tue Sep 29 19:21:07 +0000 2015 The  ramp to the  has reopened following a closure for emergency repair work. All lanes are open.
Tue Sep 29 17:26:12 +0000 2015  Full closure of n/b Harlem River Drive ramp to GW began last night due to emergency repair work
"Tue Sep 29 13:05:52 +0000 2015  over  lane closures ten nights thru 10/24. One lane closed 12:01am-5am, two lanes closed 1am-5am "
"Tue Sep 29 03:15:58 +0000 2015 Full closure of northbound  ramp to the  until further notice, due to emergency repair work."
"Mon Sep 28 23:02:34 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/28 11pm-5am "
"Mon Sep 28 19:31:50 +0000 2015   two westbound lane closures, 10/1 thru 10/3, 1am-5am "
Thu Sep 24 20:04:12 +0000 2015   Bridge may close for up to 15min at a time as needed btn 7am-7pm to permit marine traffic to pass per Coast Guard
"Thu Sep 24 14:51:18 +0000 2015  No work planned 9/25 on Battery Park Underpass, though streets may face interruptions. Road closure info: "
Wed Sep 23 22:02:02 +0000 2015    There are no plans to close the East River bike path.
Wed Sep 23 21:22:45 +0000 2015    Road closures are posted here: 
"Wed Sep 23 13:04:21 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/23 11pm-5am "
"Tue Sep 22 16:40:52 +0000 2015  intermittent 15-min daytime full bridge closures, 9/25-10/2 7am-7pm "
"Mon Sep 21 13:04:04 +0000 2015 REMINDER:  under  lanes closed one direction at a time tonight, 9/21 11pm-5am "
"Fri Sep 18 20:45:26 +0000 2015  night lane closures in both directions over  9/22-10/3. One lane closed 11pm-5am, two lanes 1am-5am "
"Fri Sep 18 19:42:56 +0000 2015  intermittent 20-min early morning closures, Sat 9/19 2am-5am."
"Fri Sep 18 17:15:21 +0000 2015  morning full closures of either north or south tube continue Tues-Fri 12:01am-5am, Sat 1am-8am "
Wed Sep 16 20:47:32 +0000 2015 Street closures for  General Assembly begins Friday 9/18 through 10/3.  
"Wed Sep 16 14:20:53 +0000 2015  under  closed one direction at a time on three nights - 9/21, 9/23 &amp; 9/28 11pm-5am "
Sun Sep 13 15:43:04 +0000 2015 Congrats to  for today's opening of   Line to    
Fri Sep 11 14:55:51 +0000 2015  is suspended Monday &amp; Tuesday for  Follow  for daily updates.
Thu Sep 10 16:00:45 +0000 2015 Please note: Manhattan street closures for Fri  from 7am-5pm   
Wed Sep 02 20:16:35 +0000 2015  This segment is part of a DDC water main project. Upon completion of construction the protected bike lane will be restored.
Wed Sep 02 19:46:29 +0000 2015 REVISED: Full closure of  North Tube for Fri 9/4 is cancelled. See below for continuing closures 
"Tue Sep 01 14:25:47 +0000 2015   full closure, both directions 9/2 &amp; 9/3, 11pm-5am. Details below: "
"Mon Aug 31 20:15:43 +0000 2015  North Tube (FDR to West St) FULLY CLOSED, one day only Fri 9/4, 12:01am-5am. Detour info below: "
Mon Aug 31 13:04:05 +0000 2015 REMINDER:  full bridge closures begin tonight thru 9/5. See below for details and detour info: 
"Fri Aug 28 13:40:50 +0000 2015  one lane closure in both directions under West 246th Street Bridge 8/31 &amp; 9/2, 11pm-5am "
"Thu Aug 27 13:04:10 +0000 2015 REMINDER:   full closure in both directions, 8/27 and 8/28, 11pm-5am "
"Wed Aug 26 13:15:53 +0000 2015   Path closed intermittently from W59th to W63rd St, weekdays 8am-2pm thru 9/30 "
"Tue Aug 25 17:55:38 +0000 2015  full bridge closure 9/1 thru 9/5, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour info below: "
Tue Aug 25 13:02:42 +0000 2015  eastbound &amp; westbound early morning/daytime lane closures under  continuing thru 9/25 
Mon Aug 24 20:25:28 +0000 2015  Staten Island-bound overnight lane closures from  to  Ave 10 nights only 8/31 thru 10/31 
Mon Aug 24 14:05:41 +0000 2015  south tube early AM full closures from  to  early AM begins tonight 12:01-5am 
Fri Aug 21 21:50:50 +0000 2015  overnight detours to Mn-bound traffic cont tonight 8/21. No closures 8/22 8/23. More  info: 
"Fri Aug 21 20:03:43 +0000 2015 Close up the summer in   with the  Community Street Fair, 8/23 11am-4pm on 16th Ave b/w 42nd &amp; 45th St!"
Fri Aug 21 19:01:31 +0000 2015  south tube from  to  early morning full closure begins Tues 8/25 12:01-5am 
Thu Aug 20 16:20:57 +0000 2015 Concrete closure pours placed on  Manhattan approach during recent full weekend closure.  
"Thu Aug 20 13:15:23 +0000 2015   one lane closure 8/24 thru 8/26 10:30pm-5am, full closure 8/27 &amp; 8/28 11pm-5am "
Mon Aug 17 16:15:49 +0000 2015  lane closures in each direction under  Bridge &amp;  Bridge beginning 8/21. Details below: 
Fri Aug 14 13:40:20 +0000 2015  - East Approach: Legion Triangle closure beginning 8/17 
Thu Aug 13 19:35:21 +0000 2015 Extended single lane closures continuing 8/17 on   &amp; Woodhaven Blvd Service Rds. See below: 
"Thu Aug 13 13:30:37 +0000 2015  one lane closure 8/17 thru 9/18, two nights a week 11pm-5am "
"Wed Aug 12 21:01:05 +0000 2015  extended lane closures under 44th St, 2 nights/wk thru 9/25. See below for details: "
"Tue Aug 11 18:35:18 +0000 2015  full closure 8/14 and 8/15, Fri morn 12:01am-5am, Sat morn 1am-6am. See below for detour info: "
Tue Aug 11 13:31:05 +0000 2015  traffic shift: two eastbound lanes will be shifted to the right at  starting 10pm on 8/13 
"Mon Aug 10 15:20:27 +0000 2015  southbound lane closures, one night only 8/12. One lane closed 11pm-5am, two lanes closed 1am-5am "
Mon Aug 10 13:01:41 +0000 2015 Daytime &amp; overnight single-lane closures on   &amp; Woodhaven Blvd Service Roads starting 8/12 
"Fri Aug 07 13:20:26 +0000 2015  closed for repairs 8/12 and 8/13, 12:01am-5am "
"Thu Aug 06 20:15:38 +0000 2015  one lane closure under  two nights only 8/10 &amp; 8/12, 11pm-5am "
"Tue Aug 04 18:10:45 +0000 2015  eastbound lane closures b/w  &amp;  8/4 thru 8/7, 10pm-5am "
"Mon Aug 03 19:25:07 +0000 2015  repairs 8/3 thru 8/29, see below for south and north tube lane closure schedules. "
"Mon Aug 03 13:10:42 +0000 2015  partial closure at  Tues 8/4 thru Fri 8/7, 11pm-6am "
"Thu Jul 30 19:35:15 +0000 2015  work schedule change: On 8/1 and 8/8, the NORTH tube will be fully closed 1am-6am. SOUTH tube will remain open."
"Thu Jul 30 16:50:37 +0000 2015  Lane closure northbound or southbound twice/week 11pm-5am, 8/3 thru 10/30. See below for alt route: "
"Tue Jul 28 17:35:18 +0000 2015  two lane closures eastbound or westbound twice/week thru 9/30, 12:01am-5am "
"Tue Jul 28 00:01:34 +0000 2015 REMINDER:  intermittent 15 min bridge closures 7/28 thru 8/1, 2am-5am. Alternative routes below: "
"Mon Jul 27 22:01:42 +0000 2015 REMINDER:  intermittent 15-min full bridge closures 7/28, 8/3 &amp; 8/5, 10am-2pm "
Mon Jul 27 19:45:20 +0000 2015  Starting this week all Queensbound night closures will only occur on Tues &amp; Thurs starting  11pm: 
"Fri Jul 24 23:30:31 +0000 2015 REMINDER:  intermittent 15 min bridge closures 7/25, 2am-5am. Alternative routes below: "
"Fri Jul 24 19:05:24 +0000 2015  intermittent 15-min full bridge closures, 7/28, 8/3 &amp; 8/5, 10am-2pm. Rain date: 8/7 "
"Fri Jul 24 14:05:24 +0000 2015  under  lane closures 7/29 thru 9/9, Mon-Thurs 11pm-5am, Fri 11pm-Sat 6am, Sun 12:01am-12pm "
"Thu Jul 23 20:01:06 +0000 2015  Full closure of NORTH tube (FDR Dr to Route 9A) from 1am-8am, Sat 7/25. South tube closures will resume 7/28  12:01am"
Thu Jul 23 18:31:01 +0000 2015  over E.167th St: temporary elimination of parking &amp; weeknite underpass lane closures begin 7/27 
"Thu Jul 23 16:01:33 +0000 2015  intermittent 15 min bridge closures 7/25 &amp; 7/28 thru 8/1, 2am-5am. See below for travel alternatives "
"Thu Jul 23 14:31:18 +0000 2015  one north tube lane closure, weekdays only 7/27 to 9/4 10am-3pm "
"Wed Jul 22 13:50:34 +0000 2015  under  closures twice/wk 7/27 to 8/28: 1 lane closed 12:01am-5am, 2 lanes closed 1am-5am "
Tue Jul 21 15:10:42 +0000 2015  Nightly MN-bd closures extend to daytime hours this weekend: 12:01am 7/25 until 5am 7/27. More info: 
"Mon Jul 20 15:31:20 +0000 2015 REMINDER:  south tube closed 7/21 thru 8/8, Tues-Fri 12:01am-5am &amp; Sat 1am-8am "
"Mon Jul 20 13:10:48 +0000 2015 REMINDER:  closures 7/20 &amp; 7/22, eastbound lane closed 11pm-5am, intermittent full closures 1am-5am "
"Fri Jul 17 16:05:24 +0000 2015  early morning 15 min intermittent bridge closures 7/21-7/23, 2am-5am "
Fri Jul 17 15:30:32 +0000 2015  overnight detours to Mn-bd traffic on  midnight tonight to Sat 7am &amp; Sat midnight to Sun 9am 
"Fri Jul 17 13:35:19 +0000 2015  south tube closed from Route 9A to  7/21 thru 8/8, Tues-Fri 12:01am-5am &amp; Sat 1am-8am "
"Thu Jul 16 18:45:25 +0000 2015  lane closures under 44th St two weeknites/wk thru 7/31, 1 lane closed 11pm-5am, 2 lanes 12:01am-5am "
"Thu Jul 16 13:20:57 +0000 2015  closures 2 nights only 7/20 &amp; 7/22, eastbound lane closure 11pm-5am, intermittent full closures 1am-5am "
"Mon Jul 13 18:05:34 +0000 2015 REMINDER:  full closures 7/14-7/18 &amp; 7/21-7/25, Tues-Fri 12:01am-5am, Sat 1am-6am. Detour map: "
"Sat Jul 11 10:01:43 +0000 2015 REMINDER:  Closed both directions today, 7/18 &amp; 7/25 from 7am to 1pm. Alt route: Metropolitan Ave "
"Fri Jul 10 18:05:49 +0000 2015  one southbound lane closure, 7/13 and 7/15, 11pm-5am "
"Fri Jul 10 13:15:45 +0000 2015  early morning intermittent 15 min bridge closures 7/14 thru 7/18, 2am-5am "
